Mine ID,Mine Name,Company Name,State,District,Coalfield,Area,Mine Type,Ownership,Production,Despatch
JAMBAD_OCP,Jambad OCP,ECL,West Bengal,Bardhaman,Raniganj,Kajora,Opencast,PUBLIC,0.47,0
JAMBAD_UG_COLLIERY,Jambad UG Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kajora,Underground,PUBLIC,0.113,0
JAMKHANI_COAL_MINE,Jamkhani Coal Mine,Vedanta,Odisha,SUNDARGARH,IB River,IB River,Opencast,PRIVATE,2.126,0
JAMPALI,Jampali,SECL,Chhattisgarh,RAIGARH,Central India,Raigarh,Opencast,PUBLIC,3.0,0
JAMUNA_9_10_JAMUNA_RO,Jamuna 9 & 10 Jamuna RO,SECL,Madhya Pradesh,SHAHDOL,Central India,Jamuna & Kotma,Underground,PUBLIC,0.142,0
JARANGDIH_OC,Jarangdih OC,CCL,Jharkhand,BOKARO,E. Bokaro,Kathara,Opencast,PUBLIC,1.481,0
JAWAHAR_KHANI_OC_5,"Jawahar Khani OC-5,",SCCL,Telangana,KHAMMAM,Godavari Valley,Yellandu,Opencast,PUBLIC,1.369,0
JAYANT_PROJECT,Jayant Project,NCL,Madhya Pradesh,SINGRAULI,Singrauli,Jayant,Opencast,PUBLIC,44.007,0
JHANJRA_PROJECT_COLLIERY,Jhanjra Project Colliery,ECL,West Bengal,Bardhaman,Raniganj,Jhanjra,Underground,PUBLIC,2.659,0
JHARKHAND_OCP,Jharkhand OCP,CCL,Jharkhand,RAMGARH,W.Bokaro,Hazaribagh,Opencast,PUBLIC,0.408,0
JHILIMILI_COLLIERY,Jhilimili Colliery,SECL,Chhattisgarh,KOREA,Central India,Baikunthpur,Underground,PUBLIC,0.37,0
JHINGURDA_PROJECT,Jhingurda Project,NCL,Madhya Pradesh,SINGRAULI,Singrauli,Jhingurda,Opencast,PUBLIC,4.9,0
JHIRIA,Jhiria,SECL,Madhya Pradesh,SHAHDOL,Central India,Hasdeo,Underground,PUBLIC,0.189,0
JITPUR_COLLIERY,Jitpur Colliery,IISCO,Jharkhand,DHANBAD,Jharia,SAIL-BSL,Underground,PUBLIC,0.027,0
JOGIDIH,Jogidih,BCCL,Jharkhand,DHANBAD,Jharia,Govindpur,Underground,PUBLIC,0.013,0
JOYRAMPUR,Joyrampur,BCCL,Jharkhand,DHANBAD,Jharia,Lodna,Opencast,PUBLIC,0.705,0
JUNAD,"Junad,",WCL,Maharashtra,YAVATMAL,Wardha Valley,Wani North,Opencast,PUBLIC,0.464,0
K_DEWARKHAND,K. Dewarkhand,CCL,Jharkhand,RANCHI,N.K.Coalfields,North Karanpura,Opencast,PUBLIC,0.863,0
KABRIBAD_OC,Kabribad OC,CCL,Jharkhand,GIRIDIH,Giridih,Giridih OC,Opencast,PUBLIC,0.41,0
KAKATIYA_KHANI_1_1A_INCLINE,Kakatiya Khani-1 & 1A Incline,SCCL,Telangana,JAYASHANKAR BHUPALPALLY,Godavari Valley,Bhupalpalli,Underground,PUBLIC,0.221,0
KAKATIYA_KHANI_5_INCLINE,Kakatiya Khani-5 Incline,SCCL,Telangana,JAYASHANKAR BHUPALPALLY,Godavari Valley,Bhupalpalli,Underground,PUBLIC,0.208,0
KAKATIYA_KHANI_6_INCLINE,"Kakatiya Khani-6, Incline",SCCL,Telangana,JAYASHANKAR BHUPALPALLY,Godavari Valley,Bhupalpalli,Underground,PUBLIC,0.121,0
KAKATIYA_KHANI_8_8A_INCLINE,Kakatiya Khani-8 & 8A Incline,SCCL,Telangana,JAYASHANKAR BHUPALPALLY,Godavari Valley,Bhupalpalli,Underground,PUBLIC,0.167,0
KAKATIYA_KHANI_OC_II,Kakatiya Khani-OC II,SCCL,Telangana,JAYASHANKAR BHUPALPALLY,Godavari Valley,Bhupalpalli,Opencast,PUBLIC,1.499,0
KAKATIYA_KHANI_OC_III,Kakatiya Khani-OC-III,SCCL,Telangana,JAYASHANKAR BHUPALPALLY,Godavari Valley,Bhupalpalli,Opencast,PUBLIC,1.369,0
KAKRI_PROJECT,Kakri Project,NCL,Madhya Pradesh,SINGRAULI,Singrauli,Kakri,Opencast,PUBLIC,2.695,0
KALIDASPUR_PROJECT,Kalidaspur Project,ECL,West Bengal,BANKURA,Raniganj,Satgram,Underground,PUBLIC,0.075,0
KALYAN_KHANI_OC,Kalyan Khani OC,SCCL,Telangana,MANCHERIAL,Godavari Valley,Mandamari,Opencast,PUBLIC,1.775,0
KALYAN_KHANI_1_5_INCLINE,Kalyan Khani-1 & 5 Incline,SCCL,Telangana,MANCHERIAL,Godavari Valley,Mandamari,Underground,PUBLIC,0.213,0
KANCHAN_OC,Kanchan OC,SECL,Madhya Pradesh,UMARIA,Central India,Johilla,Opencast,PUBLIC,0.908,0
KANIHA_OCP,Kaniha OCP,MCL,Odisha,Angul,Talcher,Kaniha,Opencast,PUBLIC,11.811,0
KANKANEE,Kankanee,BCCL,Jharkhand,DHANBAD,Jharia,Sijua,Opencast,PUBLIC,0.334,0
KAPASARA,Kapasara,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,Opencast,PUBLIC,0.04,0
KAPURDI,Kapurdi,HIL,Chhattisgarh,RAIGARH,Mand-Raigarh,Gare Palma Area,Underground,PRIVATE,0.0,0
KARGALI_OC,Kargali OC,CCL,Jharkhand,BOKARO,E. Bokaro,B & K Area,Opencast,PUBLIC,0.0,0
KARMA,Karma,CCL,Jharkhand,RAMGARH,W.Bokaro,Kuju,Opencast,PUBLIC,0.861,0
KARO_SPL_OC,KARO SPL OC,CCL,Jharkhand,BOKARO,E. Bokaro,B & K Area,Underground,PUBLIC,0.0,0
