Source,Source_Mine_Name,Source_Company,Source_State,Master_Mine_Name,Master_Company,Master_State,Master_District,Master_Coalfield,Master_Area,Master_Mine_Type,Master_Ownership,Match_Type,Match_Score,Score_Gap,Review_Required,Mapping_Status
Production,Kurasia UG & Kurasia OC,SECL,Chhattisgarh,Kurasia UG,SECL,Chhattisgarh,KOREA,Central India,Chirimiri,Underground,PUBLIC,Possible,0.7576,0.2476,Yes,Matched_Review
Production,Kurja/Sheetaldhara,SECL,Madhya Pradesh,Kurja/Sheetaldhara/Kapildhara,SECL,Madhya Pradesh,SHAHDOL,Central India,Hasdeo,Underground,PUBLIC,Possible,0.8084,0.3458,Yes,Matched_Review
Production,Kusmunda Project,SECL,Chhattisgarh,Kusmunda Project,SECL,Chhattisgarh,KORBA,Central India,Kusmunda,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.4529,Yes,Matched_Review
Production,Kuya,BCCL,Jharkhand,Kuya,BCCL,Jharkhand,DHANBAD,Jharia,Bastacolla,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.448,Yes,Matched_Review
Production,Laiyo,CCL,Jharkhand,Laiyo UGP,CCL,Jharkhand,RAMGARH,W.Bokaro,Hazaribagh,Underground,PUBLIC,Possible,0.74,0.2462,Yes,Matched_Review
Production,Lajkura OCP,MCL,Odisha,Lajkura OCP,MCL,Odisha,JHARSUGUDA,IB Valley,IB Valley,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.3267,Yes,Matched_Review
Production,Lajkura Ocm,MCL,Odisha,Lajkura OCP,MCL,Odisha,JHARSUGUDA,IB Valley,IB Valley,Opencast,PUBLIC,Possible,0.7752,0.2352,Yes,Matched_Review
Production,Lakhanpur OCP,MCL,Odisha,Lajkura OCP,MCL,Odisha,JHARSUGUDA,IB Valley,IB Valley,Opencast,PUBLIC,Possible,0.7083,0.0242,Yes,Matched_Review
Production,Lakhimata,ECL,Jharkhand,Lakhimata,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.49,Yes,Matched_Review
Production,Laxman Project,SECL,Chhattisgarh,,,,,,,,,Unmatched,0.58,0.0509,Yes,Unmatched
Production,Lingaraj OCP,MCL,Odisha,Lingaraj OCP,MCL,Odisha,Angul,Talcher,Lingaraj,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.3145,Yes,Matched_Review
Production,Lower Kenda Colliery,ECL,West Bengal,Lower Kenda Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kenda,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.3127,Yes,Matched_Review
Production,Loyabad,BCCL,Jharkhand,,,,,,,,,Unmatched,0.4575,0.0,Yes,Unmatched
Production,MKD-III OC MINE,WCL,Maharashtra,Makardhokra-III OC MINE,WCL,Maharashtra,NAGPUR,Umrer,Umrer,Opencast,PUBLIC,Possible,0.7996,0.1076,Yes,Matched_Review
Production,Madhabpur & Madhabpur OC (H),ECL,West Bengal,,,,,,,,,Unmatched,0.5567,0.0114,Yes,Unmatched
Production,Madhabpur UG & Madhabpur OC,ECL,West Bengal,,,,,,,,,Unmatched,0.5516,0.0205,Yes,Unmatched
Production,Madhaipur Colliery,ECL,Jharkhand,Madhaipur,ECL,West Bengal,Bardhaman,Raniganj,Kajora,Mixed,PUBLIC,Contextual_Fuzzy,0.906,0.245,Yes,Matched_Review
Production,Madhaipur UG/Madhaipur OC,ECL,West Bengal,,,,,,,,,Unmatched,0.622,0.0063,Yes,Unmatched
Production,Madhuban,BCCL,Jharkhand,,,,,,,,,Unmatched,0.4976,0.0176,Yes,Unmatched
Production,Madhusudanpur 7 Pit & Incline,ECL,West Bengal,Madhusudanpur 7 Pit & Incline,ECL,West Bengal,Bardhaman,Raniganj,Kajora,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.464,Yes,Matched_Review
Production,Madhusudanpur 7 Pit Colliery,ECL,West Bengal,Madhusudanpur 7 Pit & Incline,ECL,West Bengal,Bardhaman,Raniganj,Kajora,Underground,PUBLIC,Possible,0.857,0.3032,Yes,Matched_Review
Production,Magadh OCP,CCL,Jharkhand,Magadh OCP,CCL,Jharkhand,CHATRA,N.K.Coalfields,Magadh,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.3394,Yes,Matched_Review
Production,Mahadeopuri,WCL,Madhya Pradesh,Mahadeopuri,WCL,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,Pench,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.4667,Yes,Matched_Review
Production,Mahakali Colliery,WCL,Maharashtra,Mahakali Colliery,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.4816,Yes,Matched_Review
Production,Mahamaya,SECL,Chhattisgarh,,,,,,,,,Unmatched,0.51,0.0162,Yes,Unmatched
Production,Mahan II,SECL,Chhattisgarh,,,,,,,,,Unmatched,0.524,0.014,Yes,Unmatched
