Producing Mine,State,Company,Production_2021_22,Production_2022_23,Production_2023_24,Change_2021_22_to_2022_23,Change_2022_23_to_2023_24,Percentage_Change_21_22_to_22_23,Percentage_Change_22_23_to_23_24,Production_Mean,Production_Std,Observation_Count,Zero_Production_Count,Latest_Production_Change,Latest_Percentage_Change,Missing_2021_22,Missing_2022_23,Missing_2023_24,Data_Sufficient
Chora 10 Pit Colliery,West Bengal,ECL,0.03,0.04,0.04,0.010000000000000002,0.0,33.33333333333334,0.0,0.036666666666666674,0.005773502691896259,3,0,0.0,0.0,0,0,0,1
Chora 7&9 Pits Colliery,West Bengal,ECL,0.07,0.06,0.06,-0.010000000000000009,0.0,-14.285714285714295,0.0,0.06333333333333334,0.005773502691896263,3,0,0.0,0.0,0,0,0,1
Chora Block Incline UG & Shankarpur OC & Banbahal OC,West Bengal,ECL,,,0.28,,,,,0.28,,1,0,,,1,1,0,0
Chora Block Incline UG & Shankarpur OC (D) & Banbahal(H),West Bengal,ECL,0.36,0.38,,0.020000000000000018,,5.555555555555561,,0.37,0.014142135623730963,2,0,,,0,0,1,1
Chotia Coal Mine,Chhattisgarh,BALCO,0.0,1.0,1.0,1.0,0.0,,0.0,0.6666666666666666,0.5773502691896258,3,1,0.0,0.0,0,0,0,1
Churcha,Chhattisgarh,SECL,1.29,,,,,,,1.29,,1,0,,,0,1,1,0
Churcha RO,Chhattisgarh,SECL,,,1.41,,,,,1.41,,1,0,,,1,1,0,0
Churcha West,Chhattisgarh,SECL,0.0,1.03,,1.03,,,,0.515,0.728319984622144,2,1,,,0,0,1,1
DVC Bermo Mines,Jharkhand,DVC,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
DVC Bermo Mines,Jharkhand,DVC_B,,0.0,,,,,,0.0,,1,1,,,1,0,1,0
DVC Tubed Mines,Jharkhand,DVC_T,,0.03,1.52,,1.49,,4966.666666666667,0.775,1.053589103967956,2,0,1.49,4966.666666666667,1,0,0,1
Dabor Ph-II & III OC,West Bengal,ECL,0.5,0.17,0.34,-0.32999999999999996,0.17,-65.99999999999999,100.0,0.33666666666666667,0.16502525059315418,3,0,0.17,100.0,0,0,0,1
Dakra Bukbuka,Jharkhand,CCL,0.55,0.48,0.29,-0.07000000000000006,-0.19,-12.727272727272737,-39.583333333333336,0.44,0.13453624047073715,3,0,-0.19,-39.583333333333336,0,0,0,1
Dalurband OC,West Bengal,ECL,,,0.73,,,,,0.73,,1,0,,,1,1,0,0
Dalurband OC Patch,West Bengal,ECL,0.19,0.16,,-0.03,,-15.789473684210526,,0.175,0.021213203435596427,2,0,,,0,0,1,1
Damagoria OCP,West Bengal,BCCL,0.16,0.0,,-0.16,,-100.0,,0.08,0.1131370849898476,2,1,,,0,0,1,1
Damini,Madhya Pradesh,SECL,0.3,0.28,0.27,-0.019999999999999962,-0.010000000000000009,-6.666666666666654,-3.571428571428574,0.2833333333333334,0.01527525231651945,3,0,-0.010000000000000009,-3.571428571428574,0,0,0,1
Damoda,Jharkhand,BCCL,0.45,0.52,0.56,0.07,0.040000000000000036,15.555555555555555,7.692307692307699,0.51,0.05567764362830024,3,0,0.040000000000000036,7.692307692307699,0,0,0,1
Dhankasa & Jamunia,Madhya Pradesh,WCL,,0.0,0.0,,0.0,,,0.0,0.0,2,2,0.0,,1,0,0,1
Dhanpuri,Madhya Pradesh,SECL,0.45,0.52,0.13,0.07,-0.39,15.555555555555555,-75.0,0.3666666666666667,0.20792626898334257,3,0,-0.39,-75.0,0,0,0,1
Dharam Incline,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Dharmabandh/S.Govindpur/Teturiya,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Dhelwadih Colliery,Chhattisgarh,SECL,0.13,0.12,0.13,-0.010000000000000009,0.010000000000000009,-7.692307692307699,8.333333333333341,0.12666666666666668,0.005773502691896263,3,0,0.010000000000000009,8.333333333333341,0,0,0,1
Dhemomain Incl Colliery,West Bengal,ECL,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.0,3,0,0.0,0.0,0,0,0,1
