Year,State,Company,Producing Mine,Production (in MT)
2021-22,Madhya Pradesh,SECL,Jamuna RO,0.09
2021-22,Madhya Pradesh,SECL,Jamuna 9 & 10,0.17
2021-22,Madhya Pradesh,SECL,Kotma West,0.00
2021-22,Madhya Pradesh,SECL,Kotma,0.00
2021-22,Madhya Pradesh,SECL,Govinda,0.00
2021-22,Madhya Pradesh,SECL,Meera,0.07
2021-22,Madhya Pradesh,SECL,Bhadra,0.10
2021-22,Madhya Pradesh,SECL,Harad Incline,0.00
2021-22,Madhya Pradesh,SECL,Bartarai,0.17
2021-22,Madhya Pradesh,SECL,Amadand,0.00
2021-22,Madhya Pradesh,SECL,Jamuna OC,0.00
2021-22,Madhya Pradesh,SECL,Kotma OC,0.00
2021-22,Madhya Pradesh,SECL,Amanand OC,1.67
2021-22,Chhattisgarh,SECL,North Jhagrakhand,0.00
2021-22,Chhattisgarh,SECL,West Jhagrakhand,0.12
2021-22,Chhattisgarh,SECL,B' - Seam,0.00
2021-22,Chhattisgarh,SECL,Palkimara,0.00
2021-22,Chhattisgarh,SECL,Hakdibari,0.60
2021-22,Madhya Pradesh,SECL,Rajnagar,0.00
2021-22,Madhya Pradesh,SECL,Rajnagar RO,0.21
2021-22,Madhya Pradesh,SECL,Jhiria South Jhimar,0.18
2021-22,Madhya Pradesh,SECL,Malga,0.00
2021-22,Madhya Pradesh,SECL,Bijuri,0.12
2021-22,Madhya Pradesh,SECL,Somna,0.00
2021-22,Madhya Pradesh,SECL,Behraband,0.42
2021-22,Madhya Pradesh,SECL,Kurja/Sheetaldhara,0.54
2021-22,Madhya Pradesh,SECL,Kapildhara,0.14
2021-22,Madhya Pradesh,SECL,Rajnagar,0.00
2021-22,Chhattisgarh,SECL,N.C.P.H. Colliery (NEW),0.30
2021-22,Chhattisgarh,SECL,N.C.P.H. Colliery OLD,0.00
2021-22,Chhattisgarh,SECL,North Chirimiri,0.00
2021-22,Chhattisgarh,SECL,Duman Hill,0.00
2021-22,Chhattisgarh,SECL,Korea,0.00
2021-22,Chhattisgarh,SECL,West Chirimiri,0.00
2021-22,Chhattisgarh,SECL,Chirimiri Bartunga Hill,0.13
2021-22,Chhattisgarh,SECL,Chirimiri Anjan Hill,0.00
2021-22,Chhattisgarh,SECL,Raniatari,0.41
2021-22,Chhattisgarh,SECL,Kurasia UG & Kurasia OC,0.21
2021-22,Chhattisgarh,SECL,Chirimiri,0.92
2021-22,Chhattisgarh,SECL,W. Chirimiri Patch,0.00
2021-22,Chhattisgarh,SECL,Vijay West,0.49
2021-22,Chhattisgarh,SECL,Churcha,1.29
2021-22,Chhattisgarh,SECL,Churcha West,0.00
2021-22,Chhattisgarh,SECL,Katkona 1& 2,0.23
2021-22,Chhattisgarh,SECL,Katkona 3 & 4,0.00
2021-22,Chhattisgarh,SECL,Pandavpara Colliery,0.23
2021-22,Chhattisgarh,SECL,Jhilimili,0.33
2021-22,Chhattisgarh,SECL,Jainagar 3 & 4 ( Old),0.00
2021-22,Chhattisgarh,SECL,Jainagar 5 & 6 ( New),0.00
2021-22,Chhattisgarh,SECL,Kumda 1 & 2,0.00
2021-22,Chhattisgarh,SECL,Kumda 7 & 8,0.02
2021-22,Chhattisgarh,SECL,Balrampur,0.04
2021-22,Chhattisgarh,SECL,Rehar,0.10
2021-22,Chhattisgarh,SECL,"Bisrampur,",0.00
2021-22,Chhattisgarh,SECL,Gayatri,0.13
2021-22,Chhattisgarh,SECL,Amera,0.00
2021-22,Chhattisgarh,SECL,Amgaon,0.00
2021-22,Chhattisgarh,SECL,Ketki,0.00
2021-22,Chhattisgarh,SECL,Bhatgaon,0.27
2021-22,Chhattisgarh,SECL,Mahamaya,0.00
2021-22,Chhattisgarh,SECL,Kalyani,0.00
2021-22,Chhattisgarh,SECL,Shivani,0.20
2021-22,Chhattisgarh,SECL,Navapara,0.10
2021-22,Chhattisgarh,SECL,Dugga,0.00
2021-22,Chhattisgarh,SECL,Mahan OC,0.02
2021-22,Chhattisgarh,SECL,Mahan II,0.26
2021-22,Chhattisgarh,SECL,Jaganathpur,1.78
2021-22,Chhattisgarh,SECL,Manikpur,4.90
2021-22,Chhattisgarh,SECL,Rajgamar 6 & 7,0.00
2021-22,Chhattisgarh,SECL,Rajgamar 4 & 5,0.05
2021-22,Chhattisgarh,SECL,Pawan Incline,0.00
2021-22,Chhattisgarh,SECL,Banki,0.00
2021-22,Chhattisgarh,SECL,Surakachhar,0.17
2021-22,Chhattisgarh,SECL,Balgi,0.08
2021-22,Chhattisgarh,SECL,Dhelwadih Colliery,0.13
2021-22,Chhattisgarh,SECL,Singhali Colliery,0.18
2021-22,Chhattisgarh,SECL,Bagadeva,0.37
2021-22,Chhattisgarh,SECL,Saraipali,1.40
2021-22,Chhattisgarh,SECL,Gevra,40.45
2021-22,Chhattisgarh,SECL,Dipka,34.38
2021-22,Chhattisgarh,SECL,Kusmunda Project,29.90
2021-22,Chhattisgarh,SECL,Laxman Project,0.00
2021-22,Chhattisgarh,SECL,Baroud,2.52
2021-22,Chhattisgarh,SECL,Chhal,3.34
2021-22,Chhattisgarh,SECL,Dharam Incline,0.00
2021-22,Chhattisgarh,SECL,Jampali,3.00
2021-22,Chhattisgarh,SECL,Chhal Incline,0.00
2021-22,Chhattisgarh,SECL,Bijari OC,1.03
2021-22,Chhattisgarh,SECL,Gare Palma IV/2&3,2.91
2021-22,Chhattisgarh,SECL,Gare Palma IV/1,0.00
2021-22,Chhattisgarh,SEML,Gare Palma IV/7,0.79
2021-22,Maharashtra,SIL,Belgaon UG Coal Mine,0.17
2021-22,Madhya Pradesh,SPL,Moher & Moher Amlohri OCP,18.04
2021-22,Jharkhand,TSL,West Bokaro OC Quarry-AB,0.00
2021-22,Jharkhand,TSL,West Bokaro OC Quarry-E,3.94
2021-22,Jharkhand,TSL,West Bokaro OC Quarry-SE,0.00
2021-22,Jharkhand,TSL,"Jamadoba Colliery,",0.26
2021-22,Jharkhand,TSL,"6 & 7 Pits Colliery,",0.00
2021-22,Jharkhand,TSL,"Digwadih Colliery,",0.00
2021-22,Jharkhand,TSL,"Sijua Colliery,",0.23
2021-22,Jharkhand,TSL,"Bhelatand 'A' Colliery,",0.26
2021-22,Telangana,TSPGCL,Tadicherla I OCM,2.21
2021-22,Maharashtra,TUML,Marki Mangli - I Coal Mine of,0.24
2021-22,Madhya Pradesh,UTCL,Bicharpur,0.02
2021-22,West Bengal,WBPDCL,Barjora Coal Mine,0.32
2021-22,West Bengal,WBPDCL,Barjora (North) Coal Mine,1.03
2021-22,Jharkhand,WBPDCL,Pacchwara North Coal Mine,9.04
2021-22,West Bengal,WBPDCL,Gangaramchak Bhadulia,1.00
2021-22,Maharashtra,WCL,Hindustan Lalpeth Colliery No.1,0.00
2021-22,Maharashtra,WCL,Manna Incline,0.07
2021-22,Maharashtra,WCL,Nandgaon Incline,0.08
